screenwell_name	screenwell_catalog_number	screenwell_plate_location	screenwell_smiles	screenwell_iupac	query_compound	pubchem_cid	drugbank_id
Chloramphenicol	DL349	3-H05	C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	2,2-dichloro-N-[(1R,2R)-1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide	2,2-dichloro-N-[(1R,2R)-1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide	5959	DB00446
Chlorambucil	400049	3-H06	C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl	4-[4-[bis(2-chloroethyl)amino]phenyl]butanoic acid	4-[4-[bis(2-chloroethyl)amino]phenyl]butanoic acid	2708	DB00291
Chlorpheniramine Maleate	DL352	3-H07	CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O	(Z)-but-2-enedioic acid;3-(4-chlorophenyl)-N,N-dimethyl-3-pyridin-2-ylpropan-1-amine	(Z)-but-2-enedioic acid;3-(4-chlorophenyl)-N,N-dimethyl-3-pyridin-2-ylpropan-1-amine	5281068	
Chloroquine Diphosphate	DL353	3-H08	CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O	4-N-(7-chloroquinolin-4-yl)-1-N,1-N-diethylpentane-1,4-diamine;phosphoric acid	4-N-(7-chloroquinolin-4-yl)-1-N,1-N-diethylpentane-1,4-diamine;phosphoric acid	64927	
Thalidomide	T115	3-H09	C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O	2-(2,6-dioxopiperidin-3-yl)isoindole-1,3-dione	2-(2,6-dioxopiperidin-3-yl)isoindole-1,3-dione	5426	DB01041
Ciprofloxacin	380287	3-H10	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O	1-cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid	1-cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid	2764	DB00537
Citalopram·HBr	NS112	3-H11	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F.Br	1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3H-2-benzofuran-5-carbonitrile;hydrobromide	1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3H-2-benzofuran-5-carbonitrile;hydrobromide	77995	
Clarithromycin	DL357	4-A02	CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O	(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-[4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-12,13-dihydroxy-4-(5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl)oxy-7-methoxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione	CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O	54688	
Clomiphene Citrate	DL360	4-A03	CCN(CC)CCOC1=CC=C(C=C1)/C(=C(/C2=CC=CC=C2)\Cl)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	2-[4-[(Z)-2-chloro-1,2-diphenylethenyl]phenoxy]-N,N-diethylethanamine;2-hydroxypropane-1,2,3-tricarboxylic acid	2-[4-[(Z)-2-chloro-1,2-diphenylethenyl]phenoxy]-N,N-diethylethanamine;2-hydroxypropane-1,2,3-tricarboxylic acid	1548955	
Clopidogrel sulfate	AC1290	4-A04	COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3.OS(=O)(=O)O	methyl (2S)-2-(2-chlorophenyl)-2-(6,7-dihydro-4H-thieno[3,2-c]pyridin-5-yl)acetate;sulfuric acid	methyl (2S)-2-(2-chlorophenyl)-2-(6,7-dihydro-4H-thieno[3,2-c]pyridin-5-yl)acetate;sulfuric acid	115366	
Clobetasol Propionate	DL363	4-A05	CCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CCl	[17-(2-chloroacetyl)-9-fluoro-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] propanoate	CCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CCl	40148212	
Orphenadrine citrate	AC1386	4-A06	CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	N,N-dimethyl-2-[(2-methylphenyl)-phenylmethoxy]ethanamine;2-hydroxypropane-1,2,3-tricarboxylic acid	N,N-dimethyl-2-[(2-methylphenyl)-phenylmethoxy]ethanamine;2-hydroxypropane-1,2,3-tricarboxylic acid	83823	
Crotamiton	DL366	4-A07	CCN(C1=CC=CC=C1C)C(=O)/C=C/C	(E)-N-ethyl-N-(2-methylphenyl)but-2-enamide	(E)-N-ethyl-N-(2-methylphenyl)but-2-enamide	688020	
Cyclophosphamide . monohydrate	400051	4-A08	C1CNP(=O)(OC1)N(CCCl)CCCl.O	N,N-bis(2-chloroethyl)-2-oxo-1,3,2$l^{5}-oxazaphosphinan-2-amine;hydrate	C1CNP(=O)(OC1)N(CCCl)CCCl.O	22420	
Cytarabine	DL370	4-A09	C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O	4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one	4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one	6253	DB00987
Dacarbazine	DL371	4-A10	CN(C)N/N=C\1/C(=NC=N1)C(=O)N	(5Z)-5-(dimethylaminohydrazinylidene)imidazole-4-carboxamide	Dacarbazine	135398738	DB00851
Danazol	DL372	4-A11	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5	(1S,2R,13R,14S,17R,18S)-17-ethynyl-2,18-dimethyl-7-oxa-6-azapentacyclo[11.7.0.0²,¹⁰.0⁴,⁸.0¹⁴,¹⁸]icosa-4(8),5,9-trien-17-ol	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5	28417	DB01406
Desloratadine	DL154	4-B02	C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4	8-chloro-11-piperidin-4-ylidene-5,6-dihydrobenzo[1,2]cyclohepta[2,4-b]pyridine	8-chloro-11-piperidin-4-ylidene-5,6-dihydrobenzo[1,2]cyclohepta[2,4-b]pyridine	124087	DB00967
Dextromethorphan	DL374	4-B03	CN1CC[C@]23CCCC[C@@H]2[C@H]1CC4=C3C=C(C=C4)OC	(1S,9S,10S)-4-methoxy-17-methyl-17-azatetracyclo[7.5.3.0¹,¹⁰.0²,⁷]heptadeca-2(7),3,5-triene	CN1CC[C@]23CCCC[C@@H]2[C@H]1CC4=C3C=C(C=C4)OC	6916184	
Diclofenac sodium salt 	DL375	4-B04	C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+]	sodium;2-[2-(2,6-dichloroanilino)phenyl]acetate	sodium;2-[2-(2,6-dichloroanilino)phenyl]acetate	5018304	
Zalcitabine 	DL376	4-B05	C1C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N	4-amino-1-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one	C1C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N	24066	DB00943
Diflunisal	DL378	4-B06	C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O	5-(2,4-difluorophenyl)-2-hydroxybenzoic acid	5-(2,4-difluorophenyl)-2-hydroxybenzoic acid	3059	DB00861
Disulfiram	DL379	4-B07	CCN(CC)C(=S)SSC(=S)N(CC)CC	diethylcarbamothioylsulfanyl N,N-diethylcarbamodithioate	diethylcarbamothioylsulfanyl N,N-diethylcarbamodithioate	3117	DB00822
Doxazosin Mesylate	DL204	4-B08	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC.CS(=O)(=O)O	[4-(4-amino-6,7-dimethoxyquinazolin-2-yl)piperazin-1-yl]-(2,3-dihydro-1,4-benzodioxin-3-yl)methanone;methanesulfonic acid	[4-(4-amino-6,7-dimethoxyquinazolin-2-yl)piperazin-1-yl]-(2,3-dihydro-1,4-benzodioxin-3-yl)methanone;methanesulfonic acid	62978	
Doxycycline Monohydrate	DL381	4-B09	CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O	4-(dimethylamino)-1,5,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide;hydrate	CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O	54706441	
Enalapril	PI152	4-B10	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O	(2S)-1-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]pyrrolidine-2-carboxylic acid	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O	5388962	DB00584
Esomeprazole Potassium	DL386	4-B11	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC.[K+]	potassium;5-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methylsulfinyl]benzimidazol-1-ide	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC.[K+]	12047936	
17β-Estradiol	BL093	4-C02	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O	(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol	(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol	5757	DB00783
Estrone	BL090	4-C03	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O	(8R,9S,13S,14S)-3-hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one	(8R,9S,13S,14S)-3-hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one	5870	DB00655
Etidronate Disodium	DL390	4-C04	CC(O)(P(=O)(O)[O-])P(=O)(O)[O-].[Na+].[Na+]	disodium;hydroxy-[1-hydroxy-1-[hydroxy(oxido)phosphoryl]ethyl]phosphinate	disodium;hydroxy-[1-hydroxy-1-[hydroxy(oxido)phosphoryl]ethyl]phosphinate	23894	
Famciclovir	DL392	4-C05	CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C	[2-(acetyloxymethyl)-4-(2-aminopurin-9-yl)butyl] acetate	[2-(acetyloxymethyl)-4-(2-aminopurin-9-yl)butyl] acetate	3324	DB00426
Fenoldopam Mesylate	DL395	4-C06	CS(=O)(=O)O.C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O	9-chloro-5-(4-hydroxyphenyl)-2,3,4,5-tetrahydro-1H-3-benzazepine-7,8-diol;methanesulfonic acid	9-chloro-5-(4-hydroxyphenyl)-2,3,4,5-tetrahydro-1H-3-benzazepine-7,8-diol;methanesulfonic acid	49659	
Fenoprofen calcium salt dihydrate	DL396	4-C07	CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)[O-].CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)[O-].O.O.[Ca+2]	calcium;2-(3-phenoxyphenyl)propanoate;dihydrate	calcium;2-(3-phenoxyphenyl)propanoate;dihydrate	64747	
Fenofibrate	270481	4-C08	CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl	propan-2-yl 2-[4-(4-chlorobenzoyl)phenoxy]-2-methylpropanoate	propan-2-yl 2-[4-(4-chlorobenzoyl)phenoxy]-2-methylpropanoate	3339	DB01039
Finasteride	270491	4-C09	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C	(1S,3aS,3bS,5aR,9aR,9bS,11aS)-N-tert-butyl-9a,11a-dimethyl-7-oxo-1,2,3,3a,3b,4,5,5a,6,9b,10,11-dodecahydroindeno[5,4-f]quinoline-1-carboxamide	(1S,3aS,3bS,5aR,9aR,9bS,11aS)-N-tert-butyl-9a,11a-dimethyl-7-oxo-1,2,3,3a,3b,4,5,5a,6,9b,10,11-dodecahydroindeno[5,4-f]quinoline-1-carboxamide	57363	DB01216
5-Fluorouracil	480099	4-C10	C1=C(C(=O)NC(=O)N1)F	5-fluoro-1H-pyrimidine-2,4-dione	5-fluoro-1H-pyrimidine-2,4-dione	3385	DB00544
Flurbiprofen	DL400	4-C11	CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O	2-(3-fluoro-4-phenylphenyl)propanoic acid	2-(3-fluoro-4-phenylphenyl)propanoic acid	3394	DB00712
Amitriptyline·HCl	DL581	4-D02	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl	3-(5,6-dihydrodibenzo[2,1-b:2',1'-f][7]annulen-11-ylidene)-N,N-dimethylpropan-1-amine;hydrochloride	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl	11065	
Floxuridine	DL403	4-D03	C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O	5-fluoro-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione	C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O	5790	DB00322
Fluocinolone Acetonide	DL404	4-D04	C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O	(1S,2S,4R,8S,9S,11S,12R,13S,19S)-12,19-difluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo[10.8.0.0²,⁹.0⁴,⁸.0¹³,¹⁸]icosa-14,17-dien-16-one	C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O	6215	DB00591
Flutamide	DL406	4-D05	CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F	2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide	2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide	3397	DB00499
Fluconazole	DL407	4-D06	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O	2-(2,4-difluorophenyl)-1,3-bis(1,2,4-triazol-1-yl)propan-2-ol	2-(2,4-difluorophenyl)-1,3-bis(1,2,4-triazol-1-yl)propan-2-ol	3365	DB00196
Furosemide	DL410	4-D07	C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl	4-chloro-2-(furan-2-ylmethylamino)-5-sulfamoylbenzoic acid	4-chloro-2-(furan-2-ylmethylamino)-5-sulfamoylbenzoic acid	3440	DB00695
Ganciclovir	DL411	4-D08	C1=NC2=C(N1COC(CO)CO)NC(=NC2=O)N	2-amino-9-(1,3-dihydroxypropan-2-yloxymethyl)-3H-purin-6-one	2-amino-9-(1,3-dihydroxypropan-2-yloxymethyl)-3H-purin-6-one	135398740	DB01004
Gatifloxacin	380291	4-D09	CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F	1-cyclopropyl-6-fluoro-8-methoxy-7-(3-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid	CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F	5379	DB01044
Gentamycin Sulfate	380003	4-D10	CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC.OS(=O)(=O)O	2-[4,6-diamino-3-[3-amino-6-(aminomethyl)oxan-2-yl]oxy-2-hydroxycyclohexyl]oxy-5-methyl-4-(methylamino)oxane-3,5-diol;sulfuric acid	CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC.OS(=O)(=O)O	44134730	
Gemfibrozil	DL414	4-D11	CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O	5-(2,5-dimethylphenoxy)-2,2-dimethylpentanoic acid	5-(2,5-dimethylphenoxy)-2,2-dimethylpentanoic acid	3463	DB01241
Glimepiride	DL416	4-E02	CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C	4-ethyl-3-methyl-N-[2-[4-[(4-methylcyclohexyl)carbamoylsulfamoyl]phenyl]ethyl]-5-oxo-2H-pyrrole-1-carboxamide	4-ethyl-3-methyl-N-[2-[4-[(4-methylcyclohexyl)carbamoylsulfamoyl]phenyl]ethyl]-5-oxo-2H-pyrrole-1-carboxamide	3476	DB00222
Hydrocortisone	DL419	4-E03	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O	(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one	(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one	5754	DB00741
Hydrocortisone Acetate	DL420	4-E04	CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O	[2-[(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate	[2-[(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate	5744	DB14539
Idoxuridine	DL422	4-E05	C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)I)CO)O	1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-iodopyrimidine-2,4-dione	1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-iodopyrimidine-2,4-dione	5905	DB00249
Ifosfamide	DL423	4-E06	C1CN(P(=O)(OC1)NCCCl)CCCl	N,3-bis(2-chloroethyl)-2-oxo-1,3,2$l^{5}-oxazaphosphinan-2-amine	N,3-bis(2-chloroethyl)-2-oxo-1,3,2$l^{5}-oxazaphosphinan-2-amine	3690	DB01181
Imiquimod	420039	4-E07	CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N	1-(2-methylpropyl)imidazo[4,5-c]quinolin-4-amine	1-(2-methylpropyl)imidazo[4,5-c]quinolin-4-amine	57469	DB00724
Indapamide	DL425	4-E08	CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N	4-chloro-N-(2-methyl-2,3-dihydroindol-1-yl)-3-sulfamoylbenzamide	4-chloro-N-(2-methyl-2,3-dihydroindol-1-yl)-3-sulfamoylbenzamide	3702	DB00808
Itraconazole	DL427	4-E09	CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl	2-butan-2-yl-4-[4-[4-[4-[[2-(2,4-dichlorophenyl)-2-(1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]phenyl]-1,2,4-triazol-3-one	CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl	3793	
Levonorgestrel	DL430	4-E10	CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34	(8R,9S,10R,13S,14S,17R)-13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one	(8R,9S,10R,13S,14S,17R)-13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one	13109	DB00367
Levofloxacin . hydrochloride	380292	4-E11	C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O.Cl	(2S)-7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.0⁵,¹³]trideca-5,7,9(13),11-tetraene-11-carboxylic acid hydrochloride	C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O.Cl	9908810	
Leflunomide	430095	4-F02	CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F	5-methyl-N-[4-(trifluoromethyl)phenyl]-1,2-oxazole-4-carboxamide	5-methyl-N-[4-(trifluoromethyl)phenyl]-1,2-oxazole-4-carboxamide	3899	DB01097
Lisinopril Dihydrate	DL434	4-F03	C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O.O.O	(2S)-1-[(2S)-6-amino-2-[[(1S)-1-carboxy-3-phenylpropyl]amino]hexanoyl]pyrrolidine-2-carboxylic acid;dihydrate	(2S)-1-[(2S)-6-amino-2-[[(1S)-1-carboxy-3-phenylpropyl]amino]hexanoyl]pyrrolidine-2-carboxylic acid;dihydrate	5362118	
Loratadine	DL436	4-F04	CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1	ethyl 4-(8-chloro-5,6-dihydrobenzo[1,2]cyclohepta[2,4-b]pyridin-11-ylidene)piperidine-1-carboxylate	ethyl 4-(8-chloro-5,6-dihydrobenzo[1,2]cyclohepta[2,4-b]pyridin-11-ylidene)piperidine-1-carboxylate	3957	DB00455
Losartan Potassium	DL438	4-F05	CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NN=N[N-]4)CO)Cl.[K+]	potassium;[2-butyl-5-chloro-3-[[4-[2-(1,2,3-triaza-4-azanidacyclopenta-2,5-dien-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol	potassium;[2-butyl-5-chloro-3-[[4-[2-(1,2,3-triaza-4-azanidacyclopenta-2,5-dien-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol	11751549	
Mebendazole	DL439	4-F06	COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3	methyl N-(6-benzoyl-1H-benzimidazol-2-yl)carbamate	methyl N-(6-benzoyl-1H-benzimidazol-2-yl)carbamate	4030	DB00643
Medroxyprogesterone Acetate	DL440	4-F07	C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C	[(6S,8R,9S,10R,13S,14S,17R)-17-acetyl-6,10,13-trimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate	[(6S,8R,9S,10R,13S,14S,17R)-17-acetyl-6,10,13-trimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate	6279	DB00603
Mefenamic Acid	DL441	4-F08	CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C	2-(2,3-dimethylanilino)benzoic acid	2-(2,3-dimethylanilino)benzoic acid	4044	DB00784
Melphalan	DL442	4-F09	C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl	(2S)-2-amino-3-[4-[bis(2-chloroethyl)amino]phenyl]propanoic acid	(2S)-2-amino-3-[4-[bis(2-chloroethyl)amino]phenyl]propanoic acid	460612	DB01042
Alpha-methyl-L-dopa sesquihydrate	550528	4-F10	CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N.O	(2S)-2-amino-3-(3,4-dihydroxyphenyl)-2-methylpropanoic acid;hydrate	CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N.O	73449428	
Methylprednisolone	DL444	4-F11	C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O	(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one	(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one	6741	DB00959
Metoprolol Tartrate	DL445	4-G02	CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.C(C(C(=O)O)O)(C(=O)O)O	(2R,3S)-2,3-dihydroxybutanedioic acid;1-[4-(2-methoxyethyl)phenoxy]-3-(propan-2-ylamino)propan-2-ol	CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.C(C(C(=O)O)O)(C(=O)O)O	6420057	
Methimazole	DL446	4-G03	CN1C=CNC1=S	3-methyl-1H-imidazole-2-thione	3-methyl-1H-imidazole-2-thione	1349907	DB00763
